state,value
Alabama,96.54416424
Alaska,99.54971664
Arizona,95.08700232
Arkansas,93.55622164
California,63.5200846
Colorado,91.45419208
Connecticut,81.33864071
Delaware,79.70268181
Washington DC,30.60972703
Florida,87.43283113
Georgia,87.40184447
Hawaii,65.46669171
Idaho,98.150636
Illinois,91.44305536
Indiana,95.5888339
Iowa,98.97233885
Kansas,97.96384377
Kentucky,92.26288539
Louisiana,93.15866546
Maine,94.15969382
Maryland,80.32731325
Massachusetts,73.56011866
Michigan,92.19632282
Minnesota,93.56895673
Mississippi,95.73993964
Missouri,94.7312687
Montana,99.92044713
Nebraska,97.12977102
Nevada,95.98384854
New Hampshire,92.63902232
New Jersey,80.8304441
New Mexico,99.47493278
New York,87.38586113
North Carolina,92.68760767
North Dakota,99.61847394
Ohio,89.85546624
Oklahoma,96.24616806
Oregon,92.23409315
Pennsylvania,90.43003246
Rhode Island,87.43957911
South Carolina,93.44887713
South Dakota,99.80529644
Tennessee,90.67178961
Texas,88.15786808
Utah,95.59973659
Vermont,92.49281573
Virginia,90.01589636
Washington,88.48305576
West Virginia,95.84468866
Wisconsin,97.21333226
Wyoming,99.74904113
"",0 
"",0
