state,value
Alabama,97.160164
Alaska,99.81119489
Arizona,98.83971151
Arkansas,99.33884319
California,94.71609225
Colorado,98.77605937
Connecticut,91.26714781
Delaware,87.09240703
Washington DC,67.01154916
Florida,92.6578715
Georgia,96.12400765
Hawaii,98.41748813
Idaho,99.81922472
Illinois,96.99938972
Indiana,99.00741396
Iowa,99.55813432
Kansas,99.7581499
Kentucky,98.35326648
Louisiana,93.31381887
Maine,99.09289033
Maryland,90.17192948
Massachusetts,86.48490455
Michigan,99.34479615
Minnesota,99.82542454
Mississippi,98.02594758
Missouri,99.46801214
Montana,99.40782242
Nebraska,99.89115192
Nevada,99.10857567
New Hampshire,96.65762075
New Jersey,86.7648588
New Mexico,98.50637739
New York,86.30444533
North Carolina,96.81708551
North Dakota,98.62258965
Ohio,98.87345398
Oklahoma,97.88183342
Oregon,98.78270701
Pennsylvania,94.67440442
Rhode Island,98.69441417
South Carolina,95.83393791
South Dakota,100
Tennessee,96.92694537
Texas,96.65329676
Utah,99.76859769
Vermont,96.04058052
Virginia,96.25672546
Washington,98.25311671
West Virginia,97.25274584
Wisconsin,99.71955603
Wyoming,99.41787391
"""""",0
"""""",0
