state,value
Alabama,87.80738057
Alaska,97.95938367
Arizona,86.27248466
Arkansas,94.44358626
California,78.80433903
Colorado,88.43256965
Connecticut,72.60287573
Delaware,74.58644218
Washington DC,41.87334249
Florida,77.97636126
Georgia,87.63305097
Hawaii,85.63812512
Idaho,95.99572114
Illinois,82.94114996
Indiana,88.47638064
Iowa,96.17567828
Kansas,95.43178283
Kentucky,91.89700598
Louisiana,81.10554269
Maine,91.3956593
Maryland,71.5934857
Massachusetts,65.91015014
Michigan,89.73586458
Minnesota,96.38535194
Mississippi,91.84929894
Missouri,93.21779573
Montana,94.74762525
Nebraska,97.16344204
Nevada,92.61077235
New Hampshire,86.44078421
New Jersey,68.7319244
New Mexico,94.93423315
New York,73.85380856
North Carolina,88.02926345
North Dakota,97.2749254
Ohio,87.97507858
Oklahoma,91.2637306
Oregon,93.23060699
Pennsylvania,77.61226666
Rhode Island,78.38861846
South Carolina,85.39958871
South Dakota,99.01635094
Tennessee,86.03234215
Texas,84.48281152
Utah,85.37260593
Vermont,88.18902784
Virginia,87.00881092
Washington,88.68079824
West Virginia,90.94161793
Wisconsin,94.65201702
Wyoming,95.98755152
"""""",0
"""""",0
