state,value
Alabama,97.76310251
Alaska,99.65503618
Arizona,96.34082014
Arkansas,94.5290475
California,72.44435512
Colorado,94.4508564
Connecticut,85.99483496
Delaware,85.49747795
Washington DC,43.68029809
Florida,92.22410126
Georgia,89.28495195
Hawaii,78.37279818
Idaho,99.4505379
Illinois,93.39667453
Indiana,96.77346555
Iowa,99.23154035
Kansas,98.37019148
Kentucky,94.45057826
Louisiana,94.20364638
Maine,95.25714056
Maryland,82.37112937
Massachusetts,80.80964842
Michigan,93.88296346
Minnesota,94.74903462
Mississippi,96.50160974
Missouri,96.92161238
Montana,99.94252726
Nebraska,97.7110043
Nevada,97.8784779
New Hampshire,95.24598058
New Jersey,83.55140155
New Mexico,99.31292347
New York,90.86312675
North Carolina,95.17826654
North Dakota,99.82531248
Ohio,93.65002288
Oklahoma,97.9289316
Oregon,94.60712586
Pennsylvania,92.83877123
Rhode Island,90.8275182
South Carolina,95.51158574
South Dakota,100
Tennessee,93.64254716
Texas,90.56228235
Utah,96.98059353
Vermont,92.15339713
Virginia,90.79661209
Washington,90.62971128
West Virginia,96.81158977
Wisconsin,97.87080196
Wyoming,99.78611906
"",0 
"",0
