state,value
Alabama,99.52748083
Alaska,99.74288282
Arizona,97.75622874
Arkansas,98.55580398
California,88.05055451
Colorado,95.53974849
Connecticut,88.62735586
Delaware,93.555468
Washington DC,59.11534639
Florida,94.80978196
Georgia,93.32254476
Hawaii,79.12156717
Idaho,99.61648197
Illinois,95.91531169
Indiana,99.10026497
Iowa,99.97035812
Kansas,99.54883802
Kentucky,98.80183259
Louisiana,97.10127954
Maine,99.49787958
Maryland,87.55094352
Massachusetts,85.78674622
Michigan,97.51785098
Minnesota,93.87851816
Mississippi,99.95680725
Missouri,98.70833825
Montana,99.61460227
Nebraska,100
Nevada,98.46614969
New Hampshire,99.5192109
New Jersey,90.7007369
New Mexico,99.86583672
New York,94.28559431
North Carolina,97.39033905
North Dakota,99.81901984
Ohio,97.57541287
Oklahoma,98.66291444
Oregon,95.81996018
Pennsylvania,96.27237418
Rhode Island,94.81833331
South Carolina,99.02264625
South Dakota,100
Tennessee,96.40636709
Texas,94.33577296
Utah,98.5606898
Vermont,100
Virginia,94.29842871
Washington,93.35018909
West Virginia,98.54965011
Wisconsin,98.17890547
Wyoming,99.96071545
"",0 
"",0
